Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2 (UR)",
"Windsor - Bligh Park",13659,879,16,6,768,15330,
"Yarramundi - Londonderry",6433,492,6,5,436,7376,
"Erskine Park",6057,137,5,3,236,6440,
"St Clair",18407,572,13,3,895,19895,
"Colyton - Oxley Park",10365,509,12,12,699,11595,
"St Marys - North St Marys",13949,803,15,15,1284,16074,
"Homebush Bay - Silverwater",16763,401,14,11,1546,18733,
"Rookwood Cemetery",0,0,0,0,0,0,
"Auburn - Central",16340,20,5,0,803,17175,
"Auburn - North",10638,3,4,0,670,11325,
"Auburn - South",8080,31,0,0,377,8487,
"Berala",8571,34,0,3,289,8898,
"Lidcombe",18922,48,4,0,1014,19988,
"Regents Park",4828,34,0,0,200,5067,
"Carlingford",26521,66,0,0,771,27359,
"Ermington - Rydalmere",20294,191,3,6,923,21423,
"Oatlands - Dundas Valley",16807,131,4,8,837,17788,
"Chester Hill - Sefton",17410,120,7,10,924,18461,
"Fairfield - East",14389,120,3,6,991,15514,
"Granville - Clyde",19426,102,0,3,1292,20830,
"Greystanes - Pemulwuy",24999,253,15,4,1038,26307,
"Guildford - South Granville",19251,163,9,0,1526,20951,
"Guildford West - Merrylands West",19414,214,8,3,1080,20722,
"Merrylands - Holroyd",26918,240,7,6,1274,28452,
"Smithfield Industrial",10,0,0,0,0,10,
"Yennora Industrial",14,0,0,0,0,14,
"North Parramatta",20244,169,7,0,1815,22232,
"North Rocks",7667,25,0,0,190,7878,
"Northmead",18931,100,3,0,1350,20383,
"Parramatta - Rosehill",26717,114,7,5,2406,29243,
"Toongabbie - Constitution Hill",20705,294,7,4,933,21936,
"Winston Hills",10498,69,0,0,202,10774,
"Pendle Hill - Girraween",12125,75,3,0,638,12842,
"Wentworthville - Westmead",14826,92,0,3,676,15599,
"Epping - North Epping",26326,48,0,0,713,27093,
"Pennant Hills - Cheltenham",19880,46,3,0,559,20495,
"Eastwood - Denistone",24192,42,6,3,804,25045,
"Gladesville - Huntleys Point",13626,60,9,6,714,14409,
"Hunters Hill - Woolwich",9757,68,0,0,515,10341,
"Macquarie Park - Marsfield",20728,67,0,0,927,21728,
"North Ryde - East Ryde",11906,44,0,0,356,12311,
"West Ryde - Meadowbank",18632,79,0,0,663,19375,
"Putney",3995,9,0,0,139,4143,
"Ryde",25825,100,4,0,1235,27174,
"Ashcroft - Busby - Miller",14979,721,13,4,1620,17335,
"Austral - Greendale",8026,145,4,0,739,8918,
"Cobbitty - Leppington",16324,285,6,11,1272,17890,
"Badgerys Creek",50,0,0,0,7,59,
"Cecil Hills",6694,9,0,0,306,7015,
"Green Valley",11921,121,0,0,474,12514,
"Hinchinbrook",11742,134,5,0,421,12295,
"Hoxton Park - Carnes Hill - Horningsea Park",11013,144,0,3,420,11588,
"West Hoxton - Middleton Grange",14376,112,0,4,693,15187,
"Bonnyrigg Heights - Bonnyrigg",15340,139,3,0,498,15980,
"Bossley Park - Abbotsbury",18130,130,8,3,567,18834,
"Cabramatta - Lansvale",23497,60,7,0,1141,24708,
"Cabramatta West - Mount Pritchard",16074,239,17,10,859,17188,
"Canley Vale - Canley Heights",19828,146,4,0,845,20819,
"Edensor Park",9468,38,0,0,268,9772,
"Fairfield",16856,65,6,3,769,17704,
"Fairfield - West",18232,117,0,0,738,19088,
"Greenfield Park - Prairiewood",8031,58,11,0,240,8336,
"Horsley Park - Kemps Creek",3999,51,0,0,378,4426,
"Smithfield - Wetherill Park",17034,201,4,0,814,18045,
"St Johns Park - Wakeley",10415,70,12,0,375,10866,
"Wetherill Park Industrial",32,0,0,0,0,36,
"Casula",14587,141,3,3,931,15661,
"Chipping Norton - Moorebank",17855,190,0,0,699,18748,
"Holsworthy - Wattle Grove",19512,341,14,0,831,20706,
"Liverpool",23606,249,7,0,3306,27172,
"Lurnea - Cartwright",10452,303,7,4,913,11686,
"Prestons - Edmondson Park",16718,188,7,0,677,17580,
"Warwick Farm",4903,86,3,0,808,5798,
"Gymea - Grays Point",16758,154,19,0,548,17479,
"Miranda - Yowie Bay",17241,191,3,0,801,18230,
"Sylvania - Taren Point",15118,131,0,0,683,15940,
"Caringbah",11019,154,7,11,586,11764,
"Caringbah South",11513,119,10,8,407,12058,
"Cronulla - Kurnell - Bundeena",21563,287,14,3,1625,23487,
"Lilli Pilli - Port Hacking - Dolans Bay",3051,5,6,0,93,3149,
"Woolaware - Burraneer",7381,57,0,4,290,7728,
"Heathcote - Waterfall",6276,85,0,3,139,6504,
"Illawong - Alfords Point",10083,62,0,0,221,10366,
"Menai - Lucas Heights - Woronora",20247,242,8,0,631,21128,
"Oyster Bay - Como - Jannali",20400,194,9,5,650,21254,
"Royal National Park",18,0,0,0,7,24,
"Sutherland - Kirrawee",19704,237,5,13,914,20874,
"Engadine",16337,224,7,8,423,16992,
"Loftus - Yarrawarrah",6967,92,4,0,184,7247,
"Woronora Heights",3525,47,0,0,79,3646,
"Migratory - Offshore - Shipping (NSW)",359,10,0,0,44,419,
"No Usual Address (NSW)",9526,789,24,29,1921,12288,
"Total",6826288,207256,4842,4083,437765,7480230,


"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Commonwealth of Australia, 2018. This ABS data is covered by Creative Commons Attribution 2.5 Australia licence."
