Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2 (UR)",
"Anna Bay",5084,140,7,3,489,5726,
"Lemon Tree Passage - Tanilba Bay",5910,327,13,3,433,6685,
"Nelson Bay Peninsula",18961,558,21,20,1456,21015,
"Raymond Terrace",11713,1084,31,13,972,13825,
"Seaham - Woodville",4960,173,0,0,278,5412,
"Tea Gardens - Hawks Nest",4547,221,0,0,266,5038,
"Williamtown - Medowie - Karuah",11790,778,14,19,1071,13673,
"Muswellbrook",10239,1090,13,16,711,12072,
"Muswellbrook Region",3460,216,0,3,332,4013,
"Scone",5183,235,0,3,406,5823,
"Scone Region",6957,456,13,9,845,8288,
"Dapto - Avondale",21552,972,17,22,893,23460,
"Horsley - Kembla Grange",8210,207,0,8,236,8655,
"Port Kembla Industrial",8,0,0,0,4,13,
"Unanderra - Mount Kembla",14214,312,4,7,840,15374,
"Berkeley - Lake Heights - Cringila",12533,534,10,8,717,13797,
"Port Kembla - Warrawong",8656,431,10,0,656,9751,
"Windang - Primbee",3874,154,3,0,261,4301,
"Illawarra Catchment Reserve",7,0,0,0,0,7,
"Albion Park - Macquarie Pass",13306,492,15,16,510,14331,
"Albion Park Rail",6189,341,0,3,381,6918,
"Kiama",7167,120,0,0,402,7695,
"Kiama Downs - Minnamurra",5516,115,0,0,242,5875,
"Kiama Hinterland - Gerringong",7030,137,9,10,624,7812,
"Shellharbour - Flinders",15634,417,19,5,757,16831,
"Shellharbour - Oak Flats",9199,286,3,10,454,9951,
"Warilla",18141,979,31,13,1257,20422,
"Balgownie - Fairy Meadow",19907,366,13,6,913,21201,
"Corrimal - Tarrawanna - Bellambi",14135,573,10,20,682,15421,
"Figtree - Keiraville",20037,279,0,14,757,21083,
"Helensburgh",8202,200,9,7,370,8788,
"Thirroul - Austinmer - Coalcliff",10614,173,4,3,511,11306,
"Woonona - Bulli - Russell Vale",18525,471,8,4,834,19840,
"Wollongong - East",12204,177,6,6,1572,13968,
