Australian Bureau of Statistics

"2016 Census - Internal Migration"
"SA2 (UR) by RA (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"RA (UR)","Major Cities of Australia (NSW)","Inner Regional Australia (NSW)","Outer Regional Australia (NSW)","Remote Australia (NSW)","Very Remote Australia (NSW)","Migratory - Offshore - Shipping (NSW)","No usual address (NSW)","Major Cities of Australia (Vic.)","Inner Regional Australia (Vic.)","Outer Regional Australia (Vic.)","Remote Australia (Vic.)","Migratory - Offshore - Shipping (Vic.)","No usual address (Vic.)","Major Cities of Australia (Qld)","Inner Regional Australia (Qld)","Outer Regional Australia (Qld)","Remote Australia (Qld)","Very Remote Australia (Qld)","Migratory - Offshore - Shipping (Qld)","No usual address (Qld)","Major Cities of Australia (SA)","Inner Regional Australia (SA)","Outer Regional Australia (SA)","Remote Australia (SA)","Very Remote Australia (SA)","Migratory - Offshore - Shipping (SA)","No usual address (SA)","Major Cities of Australia (WA)","Inner Regional Australia (WA)","Outer Regional Australia (WA)","Remote Australia (WA)","Very Remote Australia (WA)","Migratory - Offshore - Shipping (WA)","No usual address (WA)","Inner Regional Australia (Tas.)","Outer Regional Australia (Tas.)","Remote Australia (Tas.)","Very Remote Australia (Tas.)","Migratory - Offshore - Shipping (Tas.)","No usual address (Tas.)","Outer Regional Australia (NT)","Remote Australia (NT)","Very Remote Australia (NT)","Migratory - Offshore - Shipping (NT)","No usual address (NT)","Major Cities of Australia (ACT)","Inner Regional Australia (ACT)","Migratory - Offshore - Shipping (ACT)","No usual address (ACT)","Inner Regional Australia (OT)","Very Remote Australia (OT)","Migratory - Offshore - Shipping (OT)","No usual address (OT)","Total",
"SA2 (UR)",
"Moruya - Tuross Head",0,5423,2540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7968,
"Narooma - Bermagui",0,0,8979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8979,
"Goulburn",0,22890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22890,
"Goulburn Region",0,11286,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12673,
"Yass",0,6502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6502,
"Yass Region",555,10637,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11508,
"Young",0,10604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10604,
"Young Region",0,4774,2546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7323,
"Avoca Beach - Copacabana",7315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7315,
"Box Head - MacMasters Beach",10688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10688,
"Calga - Kulnura",478,4228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4703,
"Erina - Green Point",13950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13950,
"Gosford - Springfield",18802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18802,
"Kariong",6381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6381,
"Kincumber - Picketts Valley",7308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7308,
"Narara",6642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6642,
"Niagara Park - Lisarow",8027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8027,
"Point Clare - Koolewong",6207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6207,
"Saratoga - Davistown",6979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6979,
"Terrigal - North Avoca",13345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13345,
"Umina - Booker Bay - Patonga",23588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23588,
