Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2 (UR)",
"Forrestdale - Harrisdale - Piara Waters",18547,118,4,0,587,19265,
"Kelmscott",9479,278,13,3,712,10479,
"Mount Nasura - Mount Richon - Bedfordale",7412,82,0,0,460,7959,
"Roleystone",6654,44,0,0,333,7033,
"Seville Grove",9324,376,8,3,557,10273,
"Belmont - Ascot - Redcliffe",12697,334,9,15,1277,14324,
"East Victoria Park - Carlisle",14936,319,4,4,1283,16550,
"Kewdale Commercial",6,0,0,0,0,6,
"Perth Airport",27,0,0,0,0,27,
"Rivervale - Kewdale - Cloverdale",22165,614,9,23,2522,25326,
"Victoria Park - Lathlain - Burswood",13279,132,3,3,1076,14481,
"Bentley - Wilson - St James",18327,314,5,5,1412,20062,
"Canning Vale - West",9640,57,4,0,292,9997,
"Canning Vale Commercial",0,0,0,0,0,0,
"Cannington - Queens Park",16708,233,0,6,1092,18047,
"Parkwood - Ferndale - Lynwood",13061,175,0,0,573,13806,
"Riverton - Shelley - Rossmoyne",13042,49,0,3,383,13485,
"Welshpool",8,0,0,0,13,25,
"Willetton",17660,85,0,0,440,18187,
"Beckenham - Kenwick - Langford",17483,499,12,5,881,18875,
"Canning Vale - East",21972,382,0,14,703,23065,
"Gosnells",18026,716,12,17,1521,20285,
"Huntingdale - Southern River",18119,247,10,0,663,19041,
"Maddington - Orange Grove - Martin",12473,398,4,3,766,13649,
"Thornlie",21840,432,5,0,879,23152,
"Forrestfield - Wattle Grove",17308,427,14,0,922,18666,
"High Wycombe",11162,317,0,8,824,12307,
"Kalamunda - Maida Vale - Gooseberry Hill",14058,115,10,3,704,14891,
"Lesmurdie - Bickley - Carmel",10907,135,3,3,533,11591,
"Byford",14902,353,14,5,838,16108,
"Mundijong",5949,68,5,0,334,6350,
"Serpentine - Jarrahdale",3976,102,0,0,339,4416,
"Como",12950,152,0,0,906,14014,
"Manning - Waterford",10737,182,3,4,530,11453,
"South Perth - Kensington",15193,185,6,9,1190,16576,
"Banjup",16657,200,4,8,665,17533,
"Bibra Industrial",3,0,0,0,3,7,
"Bibra Lake",0,0,0,0,0,0,
"Coogee",8268,91,0,0,409,8768,
"Coolbellup",7429,173,4,5,534,8145,
"Hamilton Hill",9380,212,0,15,787,10385,
"Henderson",9,0,0,0,7,18,
"North Coogee",2136,12,0,0,236,2382,
"South Lake - Cockburn Central",10591,268,3,5,598,11466,
"Spearwood",9310,119,3,0,664,10106,
