Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"Toowong",9976,75,12,9,735,10803,
"Brinsmead",4802,143,71,51,295,5364,
"Clifton Beach - Kewarra Beach",9794,197,44,39,766,10834,
"Freshwater - Stratford",3231,90,27,29,194,3566,
"Redlynch",11384,361,108,80,881,12807,
"Trinity Beach - Smithfield",12532,334,95,88,884,13934,
"Yorkeys Knob - Machans Beach",4958,199,130,44,828,6153,
"Bentley Park",6443,477,288,257,558,8015,
"Cairns City",8652,373,298,121,1991,11435,
"Earlville - Bayview Heights",7030,359,154,120,609,8268,
"Edmonton",8545,923,304,287,693,10750,
"Gordonvale - Trinity",7046,666,124,143,687,8666,
"Kanimbla - Mooroobool",8130,387,365,234,766,9885,
"Lamb Range",0,0,0,0,0,0,
"Manoora",3802,517,559,287,862,6023,
"Manunda",3772,396,334,168,712,5394,
"Mount Sheridan",7219,325,183,142,406,8275,
"Westcourt - Bungalow",4579,393,285,173,901,6334,
"White Rock",3463,364,255,181,467,4729,
"Whitfield - Edge Hill",7249,200,132,106,506,8191,
"Woree",3537,359,280,164,480,4821,
"Babinda",3549,221,52,37,388,4238,
"Innisfail",6877,1041,207,270,974,9377,
"Johnstone",6780,353,54,62,641,7892,
"Tully",8841,553,135,96,1044,10662,
"Wooroonooran",0,0,0,0,0,0,
"Yarrabah",50,2334,20,140,17,2560,
"Daintree",4853,596,27,129,737,6350,
"Port Douglas",4340,74,24,16,801,5257,
"Atherton",9146,649,70,132,720,10713,
"Herberton",4218,548,60,47,766,5639,
"Kuranda",3537,469,20,25,440,4495,
"Malanda - Yungaburra",7530,285,20,19,630,8481,
"Mareeba",8681,1157,75,129,1038,11078,
"Balonne",3309,674,10,7,378,4378,
"Chinchilla",6773,380,28,10,942,8132,
"Goondiwindi",5297,358,7,9,680,6356,
"Inglewood - Waggamba",3648,194,0,0,398,4246,
"Miles - Wandoan",3360,153,11,6,540,4063,
"Roma",5544,566,6,3,736,6853,
"Roma Region",5030,314,6,17,443,5815,
"Tara",3114,246,8,17,843,4222,
"Crows Nest - Rosalie",7707,255,6,5,587,8559,
"Jondaryan",6536,487,10,3,472,7511,
"Millmerran",2699,156,3,3,450,3309,
"Pittsworth",5050,147,3,8,517,5718,
"Wambo",14740,981,20,32,1256,17023,
"Clifton - Greenmount",4398,128,7,4,361,4894,
"Southern Downs - East",3774,112,13,7,323,4228,
"Southern Downs - West",4123,180,8,4,339,4655,
"Stanthorpe",4904,168,4,3,331,5409,
"Stanthorpe Region",5210,158,8,10,390,5781,
"Warwick",13449,866,14,19,786,15133,
"Central Highlands - East",5166,1267,18,68,771,7289,
"Central Highlands - West",6797,254,8,12,1060,8139,
"Emerald",11422,436,19,27,1625,13529,
"Berserker",5679,533,39,40,582,6878,
"Bouldercombe",1604,125,3,5,128,1865,
"Emu Park",4612,277,6,19,559,5462,
"Frenchville - Mount Archer",8061,403,45,48,506,9075,
"Glenlee - Rockyview",4363,247,20,32,319,4980,
"Gracemere",9872,901,50,31,814,11668,
"Lakes Creek",4056,448,29,26,311,4876,
"Mount Morgan",2270,375,8,4,284,2941,
"Norman Gardens",8963,510,42,31,578,10124,
"Park Avenue",4331,342,23,29,373,5089,
"Parkhurst - Kawana",5914,425,29,38,488,6899,
"Rockhampton - West",5045,371,35,49,433,5932,
"Rockhampton City",2591,248,19,19,375,3261,
"Rockhampton Region - East",3023,109,8,12,294,3455,
"Rockhampton Region - North",3790,85,5,7,363,4243,
"Rockhampton Region - West",2583,90,0,13,230,2917,
"Shoalwater Bay",14,0,0,0,0,14,
"The Range - Allenstown",7095,364,30,34,667,8193,
"Yeppoon",15886,665,54,59,1442,18111,
"Banana",7491,312,6,10,726,8555,
"Biloela",5081,208,7,31,428,5764,
"Agnes Water - Miriam Vale",5303,182,7,11,522,6024,
"Boyne Island - Tannum Sands",8979,318,10,17,580,9898,
"Callemondah",19,0,0,0,0,21,
"Clinton - New Auckland",12135,503,21,71,739,13462,
"Gladstone",5037,274,9,26,680,6017,
"Gladstone Hinterland",10302,376,11,11,1045,11745,
"Kin Kora - Sun Valley",3314,121,7,8,165,3616,
"South Trees",0,0,0,0,0,0,
"Telina - Toolooa",5429,238,9,40,427,6143,
"West Gladstone",4097,189,10,27,382,4708,
"Broadbeach Waters",7195,69,0,5,504,7775,
"Burleigh Heads",7838,93,4,7,822,8769,
"Burleigh Waters",13423,151,8,4,559,14159,
"Mermaid Beach - Broadbeach",10388,109,5,0,1414,11916,
"Mermaid Waters",11301,120,7,8,731,12168,
"Miami",6159,105,5,0,579,6846,
"Coolangatta",5134,120,9,3,678,5950,
"Currumbin - Tugun",9971,226,13,29,1077,11313,
"Currumbin Waters",8513,209,13,8,377,9122,
"Elanora",11280,238,10,9,607,12150,
"Palm Beach",13375,274,18,17,972,14654,
"Arundel",9523,148,9,0,567,10244,
"Biggera Waters",7654,105,0,5,766,8535,
"Coombabah",9505,203,7,10,657,10388,
"Labrador",16208,350,21,16,1667,18261,
"Paradise Point - Hollywell",8761,56,10,5,566,9396,
"Runaway Bay",8442,93,3,8,521,9069,
"Guanaba - Springbrook",3847,82,5,8,294,4238,
"Tamborine - Canungra",12868,202,12,10,1179,14272,
"Currumbin Valley - Tallebudgera",6618,89,13,8,420,7150,
"Mudgeeraba - Bonogin",16966,270,7,16,1000,18261,
"Reedy Creek - Andrews",7535,93,20,7,320,7976,
"Carrara",11270,185,6,3,726,12191,
"Highland Park",7747,159,9,11,440,8365,
"Nerang - Mount Nathan",18920,444,9,10,1136,20532,
"Pacific Pines - Gaven",16968,298,4,14,1035,18317,
"Worongary - Tallai",7177,97,4,0,598,7881,
"Coomera",12024,295,26,16,949,13305,
"Helensvale",15639,189,0,3,1023,16861,
"Hope Island",10187,69,0,0,968,11230,
"Jacobs Well - Alberton",3337,95,0,0,211,3640,
"Ormeau - Yatala",18174,307,20,12,1160,19677,
"Oxenford - Maudsland",14651,238,15,11,878,15790,
"Pimpama",7949,278,17,11,918,9166,
"Upper Coomera - Willow Vale",28676,705,18,17,1795,31216,
"Clear Island Waters",3860,27,0,0,239,4118,
"Merrimac",6388,81,7,5,595,7070,
"Robina",21686,231,7,11,1168,23109,
"Varsity Lakes",14000,245,15,7,918,15182,
"Ashmore",11072,143,11,3,687,11910,
"Molendinar",5900,151,3,3,315,6378,
"Parkwood",8001,174,5,3,523,8706,
"Southport - North",13091,246,13,3,1340,14692,
"Southport - South",15536,297,20,12,1345,17210,
"Benowa",7932,62,7,4,733,8739,
"Bundall",4180,43,6,0,294,4522,
"Main Beach",3304,27,0,6,551,3883,
"Surfers Paradise",19990,179,13,4,3505,23686,
"Darra - Sumner",4402,61,0,9,465,4933,
"Durack",7125,195,11,20,610,7952,
"Forest Lake - Doolandella",25907,397,42,35,1325,27708,
"Inala - Richlands",15428,778,33,54,1710,18007,
"Oxley (Qld)",7247,104,5,16,444,7819,
"Wacol",4823,697,46,32,209,5813,
"Boonah",10803,234,22,28,800,11884,
"Esk",4624,133,3,14,382,5158,
"Lake Manchester - England Creek",0,0,0,0,0,0,
"Lockyer Valley - East",17253,854,37,46,1629,19816,
"Lowood",12235,531,17,28,1241,14047,
"Rosewood",10431,436,21,17,908,11807,
"Brassall",9695,567,13,18,607,10902,
"Bundamba",7719,421,19,12,756,8921,
"Churchill - Yamanto",6170,279,14,16,294,6766,
"Ipswich - Central",5686,316,25,33,498,6558,
"Ipswich - East",15693,865,30,39,1268,17893,
"Ipswich - North",4341,79,10,0,205,4642,
"Karalee - Barellan Point",5145,110,4,4,245,5507,
"Karana Downs",5791,85,7,0,211,6092,
"Leichhardt - One Mile",6222,657,20,4,751,7659,
"North Ipswich - Tivoli",5646,298,14,7,422,6397,
"Raceview",13830,605,30,26,686,15174,
"Ripley",4188,116,9,7,307,4619,
"Riverview",2442,242,9,23,348,3071,
"Bellbird Park - Brookwater",12643,335,25,12,738,13761,
"Camira - Gailes",8277,321,18,17,604,9238,
"Carole Park",4,0,0,0,0,7,
"Collingwood Park - Redbank",7725,276,17,22,480,8519,
"Goodna",9273,553,51,15,996,10883,
"New Chum",0,0,0,0,0,0,
"Redbank Plains",17309,709,44,55,1181,19304,
"Springfield",6281,191,7,5,288,6777,
"Springfield Lakes",14425,294,17,11,681,15428,
"Beaudesert",12155,666,26,34,1035,13917,
"Beenleigh",7177,396,27,10,642,8253,
"Eagleby",11811,524,36,35,925,13327,
"Edens Landing - Holmview",6864,203,10,5,367,7452,
"Mount Warren Park",5323,123,7,4,334,5789,
"Wolffdene - Bahrs Scrub",5702,114,10,0,276,6105,
"Boronia Heights - Park Ridge",11168,345,14,31,675,12239,
"Browns Plains",6615,231,5,19,501,7374,
"Chambers Flat - Logan Reserve",4618,107,5,3,323,5060,
"Crestmead",10550,447,29,51,915,11989,
"Greenbank Military Camp",0,0,0,0,0,0,
"Hillcrest",7590,217,15,5,329,8153,
"Marsden",12414,456,44,34,1502,14448,
"Munruben - Park Ridge South",4337,95,8,0,182,4613,
"Regents Park - Heritage Park",14833,355,14,28,709,15938,
"Greenbank",11850,323,30,11,628,12845,
"Jimboomba",23290,790,41,21,1601,25744,
"Logan Village",6347,150,10,10,483,7000,
"Bethania - Waterford",9829,280,35,25,698,10869,
"Cornubia - Carbrook",7925,144,8,5,368,8452,
"Loganholme - Tanah Merah",10290,217,13,15,604,11129,
"Loganlea",9007,400,17,41,963,10434,
"Shailer Park",11006,152,15,9,469,11645,
"Waterford West",6468,252,12,16,499,7243,
"Daisy Hill",6244,114,8,4,265,6636,
"Kingston (Qld.)",8749,534,40,55,1039,10412,
"Logan Central",5426,280,25,18,386,6136,
"Rochedale South - Priestdale",14632,224,8,16,575,15455,
"Slacks Creek",9294,462,35,19,623,10431,
"Springwood",8555,111,33,5,568,9278,
"Underwood",5981,75,3,0,275,6344,
"Woodridge",11119,500,75,53,831,12580,
"Bowen",7292,688,84,77,960,9100,
"Broadsound - Nebo",6647,261,27,24,1544,8505,
"Clermont",3152,78,4,7,456,3697,
"Collinsville",2770,180,3,15,487,3460,
"Moranbah",7340,276,41,24,1053,8735,
"Andergrove - Beaconsfield",12911,693,235,207,859,14910,
"East Mackay",3157,83,21,12,300,3573,
"Eimeo - Rural View",10804,373,148,128,877,12327,
"Eungella Hinterland",13,0,0,0,0,13,
"Mackay",2984,128,42,35,470,3655,
"Mackay Harbour",416,4,0,0,95,518,
"Mount Pleasant - Glenella",9776,208,64,54,603,10708,
"North Mackay",5121,222,88,68,498,5999,
"Ooralea - Bakers Creek",4449,97,33,28,423,5034,
"Pioneer Valley",7175,225,52,32,726,8211,
"Sarina",9799,457,153,103,1101,11616,
"Seaforth - Calen",7151,210,39,21,703,8126,
"Shoal Point - Bucasia",5005,243,65,71,364,5749,
"Slade Point",2748,183,136,92,188,3348,
"South Mackay",5867,218,133,58,434,6708,
"Walkerston - Eton",7343,196,48,20,716,8324,
"West Mackay",5386,120,40,21,587,6160,
"Airlie - Whitsundays",10546,210,23,20,2136,12932,
"Cape Conway",0,0,0,0,0,0,
"Proserpine",7181,264,40,27,768,8294,
"Beachmere - Sandstone Point",13374,487,8,14,1013,14892,
"Bribie Island",16791,354,27,21,952,18145,
"Burpengary - East",3721,101,0,0,140,3967,
"Caboolture",23520,1229,65,88,1928,26825,
"Caboolture - South",17922,1066,33,64,1267,20344,
"Elimbah",3593,117,0,6,240,3962,
"Morayfield - East",7570,376,16,12,456,8433,
"Wamuran",3582,81,3,7,259,3928,
"Kilcoy",4794,160,9,6,410,5383,
"Woodford - D'Aguilar",6749,390,18,20,670,7851,
"Burpengary",13013,373,31,16,595,14022,
"Deception Bay",19838,957,73,59,1520,22449,
"Morayfield",4499,109,6,0,209,4826,
"Narangba",17433,370,17,19,738,18575,
"Upper Caboolture",2769,66,0,0,190,3021,
"Clontarf",7531,220,14,14,478,8252,
"Margate - Woody Point",10734,364,30,20,540,11695,
"Redcliffe",9111,244,11,7,790,10161,
"Rothwell - Kippa-Ring",15574,574,49,20,920,17139,
"Scarborough - Newport - Moreton Island",11281,185,5,13,734,12226,
"Albany Creek",15029,189,24,12,548,15800,
"Cashmere",18055,257,12,9,467,18805,
"Dayboro",7798,94,11,4,579,8490,
"Eatons Hill",7670,78,3,3,220,7972,
"The Hills District",22365,289,26,17,666,23364,
