Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"SA2 by Indigenous Status (INGP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Indigenous Status (INGP)","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2",
"Seville Grove",8377,278,5,3,559,9219,
"Belmont - Ascot - Redcliffe",11772,354,5,12,1143,13288,
"East Victoria Park - Carlisle",13771,313,4,5,899,14992,
"Kewdale Commercial",3,0,0,0,0,3,
"Perth Airport",52,0,0,0,0,52,
"Rivervale - Kewdale - Cloverdale",19764,647,15,18,1416,21862,
"Victoria Park - Lathlain - Burswood",12317,78,0,0,1210,13610,
"Bentley - Wilson - St James",17786,408,0,3,1362,19557,
"Canning Vale - West",9864,41,0,0,252,10160,
"Canning Vale Commercial",0,0,0,0,0,0,
"Cannington - Queens Park",13662,249,6,0,1034,14949,
"Parkwood - Ferndale - Lynwood",12934,149,3,0,446,13536,
"Riverton - Shelley - Rossmoyne",12538,54,3,4,551,13157,
"Welshpool",17,0,0,0,0,17,
"Willetton",16960,53,0,5,369,17393,
"Beckenham - Kenwick - Langford",15991,485,10,14,1114,17611,
"Canning Vale - East",19168,329,0,7,999,20510,
"Gosnells",16838,660,8,7,1656,19170,
"Huntingdale - Southern River",13771,225,11,3,516,14528,
"Maddington - Orange Grove - Martin",10702,367,3,6,705,11798,
"Thornlie",21471,446,9,9,1031,22965,
"Forrestfield - Wattle Grove",14703,391,6,6,828,15936,
"High Wycombe",10759,277,11,7,732,11779,
"Kalamunda - Maida Vale - Gooseberry Hill",13857,107,0,0,561,14526,
"Lesmurdie - Bickley - Carmel",10684,104,0,3,537,11323,
"Byford",7736,114,8,0,304,8156,
"Mundijong",5419,42,3,0,226,5686,
"Serpentine - Jarrahdale",3688,81,4,0,179,3960,
"Como",12578,119,0,4,703,13399,
"Manning - Waterford",10222,146,0,3,606,10975,
"South Perth - Kensington",15153,168,3,5,1117,16437,
"Banjup",13505,127,6,5,551,14201,
"Beeliar",5608,93,3,0,254,5963,
"Bibra Industrial",19,0,0,0,0,19,
"Bibra Lake",0,0,0,0,0,0,
"Coogee",7161,64,0,3,296,7523,
"Coolbellup",7183,216,0,0,343,7743,
"Hamilton Hill",9048,280,3,12,518,9857,
"Henderson",12,0,0,0,0,14,
"Jandakot",2411,18,0,6,82,2516,
"Jandakot Airport",221,0,0,0,0,222,
"North Coogee",527,0,0,0,45,577,
"South Lake - Cockburn Central",10365,319,12,5,340,11042,
"Spearwood",8573,160,3,0,358,9096,
"Success - Hammond Park",10344,87,8,4,507,10944,
"Wattleup",537,11,0,0,19,572,
"Yangebup",6539,148,4,3,432,7125,
"East Fremantle",6554,34,0,0,343,6932,
"Fremantle",12251,125,3,4,866,13245,
"Fremantle - South",12531,286,0,12,618,13447,
"O'Connor (WA)",3,0,0,0,0,3,
"Anketell - Wandi",1039,15,0,0,77,1132,
"Bertram - Wellard (West)",7255,137,5,3,421,7832,
"Calista",6364,227,8,0,768,7370,
"Casuarina - Wellard (East)",1597,268,0,7,64,1934,
"Hope Valley - Postans",89,0,0,0,20,108,
"Kwinana Industrial",11,0,0,0,0,11,
"Parmelia - Orelia",9594,443,15,3,784,10840,
