Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"SA2 by Indigenous Status (INGP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Indigenous Status (INGP)","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2",
"Brisbane City",7282,28,4,0,1387,8706,
"Fortitude Valley",4413,45,3,3,754,5216,
"Highgate Hill",5337,61,4,4,413,5823,
"Kangaroo Point",6145,39,3,0,814,6999,
"New Farm",10743,84,17,13,874,11728,
"South Brisbane",4778,36,7,0,600,5417,
"Spring Hill",4787,52,4,5,777,5626,
"West End",7312,114,3,7,625,8062,
"Balmoral",3669,22,0,0,136,3828,
"Bulimba",5615,40,8,5,277,5942,
"East Brisbane",4998,42,7,0,553,5598,
"Hawthorne",4344,38,0,4,386,4778,
"Morningside - Seven Hills",10794,174,7,15,437,11432,
"Norman Park",5712,39,9,0,242,6001,
"Albion",2391,34,10,3,113,2551,
"Alderley",5458,59,4,0,152,5680,
"Ascot",4900,25,11,0,230,5166,
"Clayfield",9463,81,12,7,442,10005,
"Grange",4013,28,3,3,118,4162,
"Hamilton (Qld)",4422,19,4,0,271,4719,
"Hendra",4137,31,3,0,246,4419,
"Kelvin Grove - Herston",7383,73,7,4,380,7846,
"Newmarket",4248,50,6,3,139,4442,
"Newstead - Bowen Hills",6601,49,9,0,625,7282,
"Wilston",3706,24,3,3,134,3870,
"Windsor",6099,81,4,3,203,6388,
"Wooloowin - Lutwyche",8196,110,6,3,424,8738,
"Ashgrove",12435,74,11,4,393,12915,
"Auchenflower",5078,28,0,4,242,5352,
"Bardon",8928,46,8,4,267,9255,
"Paddington - Milton",9435,57,4,0,479,9976,
"Red Hill (Qld)",5204,35,3,3,303,5546,
"Toowong",9857,48,5,3,588,10501,
"Brinsmead",4893,82,64,37,157,5236,
"Clifton Beach - Kewarra Beach",9234,174,25,30,494,9960,
"Freshwater - Stratford",3340,96,27,19,145,3619,
"Redlynch",10701,277,88,57,385,11507,
"Trinity Beach - Smithfield",9821,240,81,40,720,10901,
"Yorkeys Knob - Machans Beach",5179,207,143,56,411,5992,
"Bentley Park",6103,479,216,154,464,7420,
"Cairns City",7545,322,284,85,1620,9851,
"Earlville - Bayview Heights",6967,332,142,95,457,7995,
"Edmonton",7905,810,296,257,664,9934,
"Gordonvale - Trinity",6624,665,159,124,474,8039,
"Kanimbla - Mooroobool",7626,457,403,175,516,9175,
"Lamb Range",0,0,0,0,0,0,
"Manoora",3727,596,600,273,489,5688,
"Manunda",3618,311,393,149,493,4964,
"Mount Sheridan",7008,291,171,95,423,7992,
"Westcourt - Bungalow",4552,443,374,156,769,6296,
"White Rock",3354,423,236,144,326,4491,
"Whitfield - Edge Hill",7039,243,157,113,486,8049,
"Woree",3500,363,269,157,539,4826,
"Babinda",3507,217,68,49,278,4114,
"Innisfail",7295,980,225,231,480,9220,
"Johnstone",6781,284,50,61,352,7528,
"Tully",8907,504,160,76,544,10195,
"Wooroonooran",3,0,0,0,0,3,
"Yarrabah",44,2257,12,78,23,2408,
"Daintree",4792,670,48,112,391,6009,
"Port Douglas",4108,38,27,8,590,4773,
"Atherton",9032,558,66,96,416,10167,
"Herberton",4375,633,76,87,326,5484,
"Kuranda",3435,558,20,31,288,4339,
"Malanda - Yungaburra",7336,287,16,25,399,8060,
"Mareeba",8294,1189,80,88,538,10181,
"Balonne",3646,791,3,6,270,4719,
"Chinchilla",6471,230,10,3,374,7084,
"Goondiwindi",5534,325,6,8,516,6396,
"Inglewood - Waggamba",3791,165,5,0,228,4192,
