Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"SA2 by Indigenous Status (INGP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Indigenous Status (INGP)","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2",
"Cabramatta - Lansvale",21805,93,16,3,1447,23365,
"Cabramatta West - Mount Pritchard",14636,214,11,0,953,15814,
"Canley Vale - Canley Heights",18567,114,15,0,895,19591,
"Edensor Park",9108,48,3,0,282,9440,
"Fairfield",16114,88,17,3,633,16848,
"Fairfield - West",16485,94,15,4,809,17410,
"Greenfield Park - Prairiewood",7553,35,0,0,176,7762,
"Horsley Park - Kemps Creek",3939,30,0,0,352,4326,
"Smithfield - Wetherill Park",15985,154,17,0,855,17012,
"St Johns Park - Wakeley",10261,33,0,0,337,10635,
"Wetherill Park Industrial",21,0,0,0,0,21,
"Casula",13508,131,8,3,1044,14696,
"Chipping Norton - Moorebank",14846,114,5,9,676,15652,
"Holsworthy - Wattle Grove",18604,304,9,3,628,19549,
"Liverpool - Warwick Farm",25270,301,25,5,2986,28588,
"Prestons - Lurnea",24223,424,14,4,1045,25705,
"Caringbah - Lilli Pilli",24550,180,8,0,888,25618,
"Cronulla - Kurnell - Bundeena",27661,258,14,3,1256,29187,
"Gymea - Grays Point",16307,99,3,4,433,16847,
"Miranda - Yowie Bay",16635,142,6,0,811,17601,
"Sylvania - Taren Point",14371,128,3,3,609,15111,
"Engadine - Loftus",26856,231,12,3,636,27736,
"Heathcote - Waterfall",6237,51,0,0,164,6457,
"Illawong - Alfords Point",10292,48,3,0,290,10639,
"Menai - Lucas Heights - Woronora",20331,158,0,0,566,21056,
"Oyster Bay - Como - Jannali",19824,120,7,3,670,20631,
"Royal National Park",10,0,0,0,3,17,
"Sutherland - Kirrawee",18255,220,15,5,880,19371,
"Migratory - Offshore - Shipping (NSW)",106,0,0,0,9,112,
"No Usual Address (NSW)",10674,852,33,24,1329,12917,
"Total",6402111,164611,4770,3244,342925,6917656,

"Data Source: 2011 Census of Population and Housing"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Commonwealth of Australia, 2018. This ABS data is covered by Creative Commons Attribution 2.5 Australia licence."
